ano,sexo,edad,poblacion
1979,hombre,17,31258
1980,hombre,17,322339
1981,hombre,17,327072
1982,hombre,17,330323
1983,hombre,17,332128
1984,hombre,17,332568
1985,hombre,17,329558
1986,hombre,17,3287
1987,hombre,17,327161
1988,hombre,17,325483
1989,hombre,17,323676
1990,hombre,17,32247
1991,hombre,17,322825
1992,hombre,17,325522
1993,hombre,17,330376
1994,hombre,17,337515
1995,hombre,17,346182
1996,hombre,17,355378
1997,hombre,17,363763
1998,hombre,17,370464
1999,hombre,17,374959
2000,hombre,17,377639
2001,hombre,17,37896
2002,hombre,17,380317
2003,hombre,17,382338
2004,hombre,17,385813
2005,hombre,17,390502
2006,hombre,17,396479
2007,hombre,17,403036
2008,hombre,17,40943
2009,hombre,17,415324
2010,hombre,17,420652
2011,hombre,17,424879
2012,hombre,17,427695
2013,hombre,17,429051
2014,hombre,17,429142
2015,hombre,17,428087
2016,hombre,17,426037
2017,hombre,17,423489
1979,hombre,18,303804
1980,hombre,18,310412
1981,hombre,18,320351
1982,hombre,18,325051
1983,hombre,18,328276
1984,hombre,18,330065
1985,hombre,18,328059
1986,hombre,18,328341
1987,hombre,18,327459
1988,hombre,18,325847
1989,hombre,18,324066
1990,hombre,18,322122
1991,hombre,18,320825
1992,hombre,18,32117
1993,hombre,18,323855
1994,hombre,18,328738
1995,hombre,18,335846
1996,hombre,18,344471
1997,hombre,18,353608
1998,hombre,18,361924
1999,hombre,18,368551
2000,hombre,18,372986
2001,hombre,18,375601
2002,hombre,18,376871
2003,hombre,18,378227
2004,hombre,18,380305
2005,hombre,18,383905
2006,hombre,18,388886
2007,hombre,18,394884
2008,hombre,18,401422
2009,hombre,18,407892
2010,hombre,18,41394
2011,hombre,18,419325
2012,hombre,18,423426
2013,hombre,18,4261
2014,hombre,18,427457
2015,hombre,18,427718
2016,hombre,18,427174
2017,hombre,18,425798
1979,hombre,19,294307
1980,hombre,19,301524
1981,hombre,19,308101
1982,hombre,19,318223
1983,hombre,19,322902
1984,hombre,19,326114
1985,hombre,19,325449
1986,hombre,19,326679
1987,hombre,19,326922
1988,hombre,19,325963
1989,hombre,19,324235
1990,hombre,19,322302
1991,hombre,19,320252
1992,hombre,19,318934
1993,hombre,19,319253
1994,hombre,19,321987
1995,hombre,19,326865
1996,hombre,19,333929
1997,hombre,19,342508
1998,hombre,19,35157
1999,hombre,19,359813
2000,hombre,19,366369
2001,hombre,19,37073
2002,hombre,19,3733
2003,hombre,19,374579
2004,hombre,19,376003
2005,hombre,19,378255
2006,hombre,19,382107
2007,hombre,19,387122
2008,hombre,19,393092
2009,hombre,19,399686
2010,hombre,19,406296
2011,hombre,19,412399
2012,hombre,19,417631
2013,hombre,19,421552
2014,hombre,19,424215
2015,hombre,19,42575
2016,hombre,19,426574
2017,hombre,19,426729
1979,hombre,20,284355
1980,hombre,20,291951
1981,hombre,20,299125
1982,hombre,20,305674
1983,hombre,20,315991
1984,hombre,20,320665
1985,hombre,20,321337
1986,hombre,20,323936
1987,hombre,20,325116
1988,hombre,20,325261
1989,hombre,20,324163
1990,hombre,20,322266
1991,hombre,20,320212
1992,hombre,20,318141
1993,hombre,20,31677
1994,hombre,20,317159
1995,hombre,20,319905
1996,hombre,20,324765
1997,hombre,20,331788
1998,hombre,20,340301
1999,hombre,20,349285
2000,hombre,20,357449
2001,hombre,20,363926
2002,hombre,20,368237
2003,hombre,20,370811
2004,hombre,20,372169
2005,hombre,20,373772
2006,hombre,20,376286
2007,hombre,20,38018
2008,hombre,20,385181
2009,hombre,20,39119
2010,hombre,20,397909
2011,hombre,20,404557
2012,hombre,20,410489
2013,hombre,20,415516
2014,hombre,20,419417
2015,hombre,20,422268
2016,hombre,20,424388
2017,hombre,20,425961
1979,hombre,21,274066
1980,hombre,21,281939
1981,hombre,21,289496
1982,hombre,21,296629
1983,hombre,21,303165
1984,hombre,21,313691
1985,hombre,21,3158
1986,hombre,21,3197
1987,hombre,21,322228
1988,hombre,21,323303
1989,hombre,21,323296
1990,hombre,21,32201
1991,hombre,21,319961
1992,hombre,21,317879
1993,hombre,21,315742
1994,hombre,21,314451
1995,hombre,21,314882
1996,hombre,21,317625
1997,hombre,21,322463
1998,hombre,21,329429
1999,hombre,21,337866
2000,hombre,21,346769
2001,hombre,21,354845
2002,hombre,21,361258
2003,hombre,21,365568
2004,hombre,21,368234
2005,hombre,21,369783
2006,hombre,21,371652
2007,hombre,21,374206
2008,hombre,21,378092
2009,hombre,21,383148
2010,hombre,21,389256
2011,hombre,21,396006
2012,hombre,21,402479
2013,hombre,21,408168
2014,hombre,21,41316
2015,hombre,21,417268
2016,hombre,21,420751
2017,hombre,21,423643
1979,hombre,22,263808
1980,hombre,22,271606
1981,hombre,22,279446
1982,hombre,22,286967
1983,hombre,22,29408
1984,hombre,22,300621
1985,hombre,22,308737
1986,hombre,22,314063
1987,hombre,22,317878
1988,hombre,22,320283
1989,hombre,22,321183
1990,hombre,22,320974
1991,hombre,22,319527
1992,hombre,22,317429
1993,hombre,22,315266
1994,hombre,22,313211
1995,hombre,22,311968
1996,hombre,22,312436
1997,hombre,22,315178
1998,hombre,22,319974
1999,hombre,22,326876
2000,hombre,22,335232
2001,hombre,22,34403
2002,hombre,22,352041
2003,hombre,22,358457
2004,hombre,22,362839
2005,hombre,22,36567
2006,hombre,22,367519
2007,hombre,22,369446
2008,hombre,22,371984
