age,age_label,year,obs_x100k,pred_x100k,phase,err_abs,error_pct,clasif_30pct
8,35–39,1985,6.226332224747034,6.581592613281267,train,0.3552603885342336,5.70577308936751,en rango
8,35–39,1986,5.737371288029029,5.553751098733148,train,0.18362018929588064,3.2004236797259824,en rango
8,35–39,1987,6.215871470403572,5.444953656396771,train,0.7709178140068014,12.402409182324176,en rango
8,35–39,1988,5.445535568423154,5.103734750936333,train,0.34180081748682145,6.27671627872216,en rango
8,35–39,1989,4.917471679501592,4.260217003418986,train,0.6572546760826059,13.36570333129446,en rango
8,35–39,1990,3.7151662019573752,3.36077441263924,train,0.3543917893181354,9.539056129747852,en rango
8,35–39,1991,3.8158974831884738,3.353860503514689,train,0.46203697967378465,12.108212595054244,en rango
8,35–39,1992,3.8611376929965537,3.4868625420223287,train,0.37427515097422503,9.693390413221897,en rango
8,35–39,1993,3.8978228117538,3.4640636503263806,train,0.4337591614274192,11.128242159172242,en rango
8,35–39,1994,3.80924762444259,3.112027641355396,train,0.6972199830871944,18.30335152310344,en rango
8,35–39,1995,4.4404480412073575,3.1386674533645893,train,1.3017805878427682,29.316424283366104,en rango
8,35–39,1996,2.767484061021486,2.917004335103364,train,0.14952027408187796,5.4027510469812645,en rango
8,35–39,1997,2.763460479901054,2.337569410428351,train,0.4258910694727027,15.411512940758676,en rango
8,35–39,1998,3.2010755613886266,2.8836571690991564,train,0.3174183922894702,9.915991865926905,en rango
8,35–39,1999,2.5240307277633782,3.055636994723046,train,0.5316062669596677,21.061798539621606,en rango
8,35–39,2000,2.301784929586306,2.5074486420355853,train,0.20566371244927906,8.934966503853271,en rango
8,35–39,2001,2.2334474911340725,2.5939942986012015,train,0.36054680746712897,16.143061741919663,en rango
8,35–39,2002,2.4140931357131756,2.585006344498141,train,0.1709132087849654,7.079810064348405,en rango
8,35–39,2003,2.0609786134614336,2.4009054491123853,train,0.3399268356509517,16.493467396056154,en rango
8,35–39,2004,2.459894453679345,2.298658190526313,train,0.16123626315303197,6.554600865572326,en rango
8,35–39,2005,1.652036033265937,1.7286360492503223,train,0.07660001598438537,4.636703706332213,en rango
8,35–39,2006,1.7913866075937217,1.8482936717139815,train,0.05690706412025981,3.1767047871760172,en rango
8,35–39,2007,1.4931385194785012,1.9340813236126937,train,0.4409428041341925,29.53127244270664,en rango
8,35–39,2008,1.9090397121168112,1.9692176377565942,train,0.06017792563978297,3.152261592979412,en rango
8,35–39,2009,1.4361478411620487,1.6069388755034744,train,0.17079103434142562,11.892301714789424,en rango
8,35–39,2010,1.743102866652289,1.3424614472349787,train,0.40064141941731024,22.984381879123458,en rango
8,35–39,2011,1.3605321857697856,1.2424234150600346,train,0.11810877070975101,8.681071417867662,en rango
8,35–39,2012,1.448045962999395,1.3741867283030895,train,0.0738592346963054,5.100613971072979,en rango
8,35–39,2013,1.1936786756267723,1.3755863379811406,train,0.18190766235436828,15.239248724859134,en rango
8,35–39,2014,1.2994885862668748,1.27001701091605,train,0.029471575350824786,2.2679364530233923,en rango
8,35–39,2015,1.0469257501223,1.1280580308007329,train,0.08113228067843292,7.749573517410877,en rango
8,35–39,2016,1.298374095581973,1.3047806643548137,train,0.006406568772840737,0.4934301134504003,en rango
8,35–39,2017,0.9037347743283896,1.199766055893554,train,0.29603128156516434,32.75643363232979,sobreestimada
8,35–39,2018,1.6341075775384046,1.4311192582307317,train,0.20298831930767292,12.421967935149747,en rango
8,35–39,2019,1.32643273895391,1.369940104941635,test,0.0435073659877252,3.2800280564574456,en rango
8,35–39,2020,1.3227498012999754,1.3113763093703816,test,0.011373491929593804,0.8598369788765898,en rango
8,35–39,2021,1.641140796581447,1.255316067158388,test,0.385824729423059,23.50954471589185,en rango
8,35–39,2022,1.9271934254215248,1.2016523534900425,test,0.7255410719314823,37.64754810601269,subestimada
8,35–39,2023,2.1494608297965976,1.1502827187712277,test,0.9991781110253699,46.48505788867628,subestimada
9,40–44,1979,8.199255015689275,9.413046568134192,train,1.213791552444917,14.803680945675268,en rango
9,40–44,1980,9.70474321329662,9.904111721936049,train,0.199368508639429,2.0543408955558053,en rango
9,40–44,1981,9.622214642663804,10.071454180332744,train,0.4492395376689391,4.668774854356939,en rango
9,40–44,1982,9.80958008153358,9.435028721183015,train,0.3745513603505657,3.818220119897428,en rango
9,40–44,1983,9.211835366078338,8.961652549546425,train,0.2501828165319129,2.715884583143833,en rango
9,40–44,1984,6.1278002622128485,7.451364924145024,train,1.323564661932176,21.59934405979178,en rango
9,40–44,1985,8.47640744839987,8.047153658415457,train,0.4292537899844131,5.064100476498983,en rango
9,40–44,1986,7.16419189589291,6.848196535800772,train,0.31599536009213747,4.41076069267898,en rango
9,40–44,1987,6.709270534561129,6.763391340025681,train,0.05412080546455211,0.8066570752477832,en rango
9,40–44,1988,5.782381022847245,6.377217778935204,train,0.5948367560879593,10.287055691031954,en rango
9,40–44,1989,5.157186239187899,5.465909215635352,train,0.30872297644745306,5.986267746189976,en rango
9,40–44,1990,3.9360780917893408,4.2363036377890895,train,0.3002255459997487,7.627530221669616,en rango
9,40–44,1991,4.639193696956689,4.238763699880177,train,0.40042999707651195,8.631456740838264,en rango
9,40–44,1992,4.262836804577531,4.528970756529137,train,0.2661339519516064,6.243118471385667,en rango
9,40–44,1993,4.8419720883738,4.41589830994056,train,0.42607377843324024,8.799591791458244,en rango
9,40–44,1994,4.220655889925294,4.000878711448277,train,0.21977717847701683,5.20718068965596,en rango
9,40–44,1995,3.8788104464122943,4.0767657591703,train,0.1979553127580056,5.1035057137454185,en rango
9,40–44,1996,4.117186352275822,3.7864791398847126,train,0.33070721239110945,8.032359579942435,en rango
9,40–44,1997,3.748235958227491,3.0397928068135167,train,0.7084431514139742,18.900708474847217,en rango
9,40–44,1998,3.663605956499913,3.744905830565853,train,0.08129987406594008,2.219121680422511,en rango
9,40–44,1999,5.016842256145631,4.022692390004562,train,0.9941498661410693,19.816247260380486,en rango
