dataset,year,age,obs_tasa_x100k,pred_tasa_x100k,abs_error_100k,rel_abs_error
train,1993,16,35.044026184351985,30.775121688842773,4.2689044955092115,0.12181546929146114
train,1993,17,37.386231185143515,27.202316284179688,10.183914900963828,0.27239747303040335
train,1994,1,0.6339486548548733,1.0749729871749878,0.4410243323201145,0.6956783154944628
train,1994,2,0.303086404629948,0.382826566696167,0.07974016206621898,0.26309382686865906
train,1994,3,0.18476521092796458,0.26084229350090027,0.07607708257293569,0.4117500377394342
train,1994,4,0.7328635970821471,0.7138050198554993,0.019058577226647833,0.026005626834928658
train,1994,5,1.565356776116413,1.3140581846237183,0.25129859149269484,0.1605375818003586
train,1994,6,2.0308937011197217,1.8076419830322266,0.2232517180874951,0.10992782042915225
train,1994,7,2.6276202300481524,2.8460638523101807,0.2184436222620283,0.08313363543328409
train,1994,8,3.809247624442591,3.917964458465576,0.10871683402298515,0.028540238057867186
train,1994,9,4.220655889925295,4.501871109008789,0.281215219083494,0.06662832185743643
train,1994,10,4.549979026466544,5.61699104309082,1.0670120166242762,0.23450921650789888
train,1994,11,7.562252700551338,8.097071647644043,0.5348189470927052,0.07072217344094342
train,1994,12,9.654552316458672,10.641036033630371,0.9864837171716996,0.10217809017305564
train,1994,13,12.258163937182177,14.360186576843262,2.102022639661085,0.17147940347615484
train,1994,14,13.35642510829835,19.936250686645508,6.579825578347158,0.49263373432600754
train,1994,15,23.761781883517237,25.454195022583008,1.6924131390657706,0.07122416775652968
train,1994,16,26.1942644262486,30.16200828552246,3.9677438592738596,0.1514737651994432
train,1994,17,33.14099168997377,26.267784118652344,6.873207571321423,0.20739293608406367
train,1995,1,0.6285641917688823,0.9614048600196838,0.3328406682508015,0.529525341419154
train,1995,2,0.1998819197559043,0.32739052176475525,0.12750860200885095,0.6379196385742465
train,1995,3,0.2093411145425607,0.23266573250293732,0.023324617960376604,0.11141919259975615
train,1995,4,0.573773337154664,0.656862199306488,0.08308886215182398,0.14481129876776075
train,1995,5,1.3170665165628959,1.2267037630081177,0.09036275355477819,0.06860910395818595
train,1995,6,2.0004216761882523,1.6903055906295776,0.31011608555867465,0.1550253575283373
train,1995,7,2.611692240899778,2.5637240409851074,0.047968199914670606,0.01836671226550272
train,1995,8,4.440448041207357,3.7603673934936523,0.6800806477137042,0.15315586206671103
train,1995,9,3.8788104464122912,4.3609209060668945,0.4821104596546033,0.12429337971398098
train,1995,10,5.046836444647921,5.288730144500732,0.2418936998528114,0.04792976798550454
train,1995,11,7.210193847959018,7.62392520904541,0.4137313610863922,0.05738144768513392
train,1995,12,9.708303550098185,10.20552921295166,0.49722566285347547,0.051216534411760904
train,1995,13,12.483422244313166,13.610480308532715,1.1270580642195487,0.09028438213190222
train,1995,14,15.97388916711279,18.879493713378906,2.905604546266117,0.18189712698445562
train,1995,15,19.459663327762918,24.161890029907227,4.7022267021443085,0.2416396739729533
train,1995,16,28.31335497868802,29.560518264770508,1.2471632860824862,0.04404858721339116
train,1995,17,35.82314296469903,26.26675796508789,9.55638499961114,0.26676567740100193
train,1996,1,0.5090382047055496,0.8388465046882629,0.3298082999827133,0.64790480740604
train,1996,2,0.2220503388118085,0.2834985554218292,0.06144821661002073,0.27673101936503874
train,1996,3,0.18205447433981198,0.21246793866157532,0.03041346432176334,0.1670569450813295
train,1996,4,0.8982937751890697,0.5984010100364685,0.2998927651526012,0.33384709260525264
train,1996,5,1.1569011184107045,1.1797106266021729,0.02280950819146832,0.019716039537400754
train,1996,6,1.7835479801478376,1.6061807870864868,0.17736719306135074,0.09944626947829538
train,1996,7,2.371868965931946,2.296396493911743,0.07547247202020291,0.0318198319992423
train,1996,8,2.767484061021484,3.537203550338745,0.7697194893172612,0.27812969193140646
train,1996,9,4.117186352275819,4.050553798675537,0.06663255360028231,0.0161840023499141
train,1996,10,4.924093648150919,5.008931636810303,0.08483798865938397,0.017229158241380087
train,1996,11,7.596602857637469,7.205745220184326,0.39085763745314317,0.05145163499762679
train,1996,12,7.407914986767613,9.589905738830566,2.181990752062953,0.29454856811400226
train,1996,13,13.713751295499877,12.645487785339355,1.0682635101605218,0.0778972497854027
train,1996,14,15.671195922130948,17.40129852294922,1.7301026008182703,0.1104001640599043
train,1996,15,19.639367304304297,22.388437271118164,2.7490699668138667,0.13997752189355012
