ano,sexo,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa,t
1985,1,5,1537330,30.0,1.9514352806489172,1.9514352806489173e-05,7
1985,1,6,1305265,44.0,3.370962984528046,3.370962984528046e-05,7
1985,1,7,1069588,77.0,7.199033646600373,7.199033646600373e-05,7
1985,1,8,878979,62.0,7.053638369062287,7.053638369062287e-05,7
1985,1,9,719243,75.0,10.427630161155548,0.00010427630161155548,7
1985,1,10,602026,51.0,8.471394923142855,8.471394923142854e-05,7
1985,1,11,521086,90.0,17.27162119112776,0.0001727162119112776,7
1985,1,12,426845,93.0,21.787768393679205,0.00021787768393679205,7
1985,1,13,327445,119.0,36.34198109606193,0.0003634198109606193,7
1985,1,14,248218,114.0,45.92737029546608,0.00045927370295466085,7
1985,1,15,176340,116.0,65.7820120222298,0.0006578201202222979,7
1985,1,16,111163,87.0,78.26345096839776,0.0007826345096839776,7
1985,1,17,183901,83.0,45.13297915726396,0.0004513297915726396,7
1985,2,1,1948498,41.0,2.104184864444305,2.1041848644443053e-05,7
1985,2,2,1781399,14.0,0.785899172504307,7.85899172504307e-06,7
1985,2,3,1660227,4.0,0.24093090884559765,2.4093090884559764e-06,7
1985,2,4,1677119,26.0,1.5502775891275455,1.5502775891275455e-05,7
1985,2,5,1590321,30.0,1.8864116112407494,1.8864116112407494e-05,7
1985,2,6,1365374,37.0,2.7098802232941304,2.7098802232941305e-05,7
1985,2,7,1116989,44.0,3.9391614420553824,3.9391614420553826e-05,7
1985,2,8,903772,49.0,5.421721407611654,5.421721407611654e-05,7
1985,2,9,720046,47.0,6.527360751951959,6.527360751951959e-05,7
1985,2,10,578560,39.0,6.740873893805309,6.74087389380531e-05,7
1985,2,11,495560,40.0,8.071676487206393,8.071676487206392e-05,7
1985,2,12,407258,56.0,13.75049722780154,0.0001375049722780154,7
1985,2,13,313276,60.0,19.152440659354692,0.0001915244065935469,7
1985,2,14,238642,68.0,28.49456508074857,0.0002849456508074857,7
1985,2,15,170928,45.0,26.32687447346251,0.0002632687447346251,7
1985,2,16,109726,22.0,20.049942584255326,0.00020049942584255326,7
