ano,t,gr_et,poblacion,conteo_defunciones,tasa_x100k,tasa
1996,18,12,991015,80.0,8.072531697300242,8.072531697300242e-05
1996,18,13,655897,122.0,18.600481478036947,0.00018600481478036948
1996,18,14,714687,112.0,15.671195922130948,0.00015671195922130948
1996,18,15,519365,102.0,19.639367304304297,0.00019639367304304296
1996,18,16,286503,103.0,35.95075793272671,0.0003595075793272671
1996,18,17,316718,122.0,38.520071483149046,0.0003852007148314905
1997,19,1,3166179,17.0,0.5369247916810768,5.369247916810768e-06
1997,19,2,4107642,10.0,0.2434486744463125,2.434486744463125e-06
1997,19,3,3519159,6.0,0.17049528026440408,1.7049528026440407e-06
1997,19,4,3298018,18.0,0.5457823456391081,5.457823456391081e-06
1997,19,5,2948798,35.0,1.186924299324674,1.186924299324674e-05
1997,19,6,2850379,33.0,1.1577407776299222,1.1577407776299223e-05
1997,19,7,3026552,58.0,1.9163721621171552,1.9163721621171553e-05
1997,19,8,2677802,74.0,2.7634604799010534,2.7634604799010532e-05
1997,19,9,1624245,83.0,5.1100665232154014,5.110066523215402e-05
1997,19,10,1789962,81.0,4.5252357312613345,4.525235731261334e-05
1997,19,11,1030154,91.0,8.833630699875942,8.833630699875941e-05
1997,19,12,1002588,81.0,8.079091311685358,8.079091311685358e-05
1997,19,13,906109,92.0,10.153303851964829,0.00010153303851964829
1997,19,14,733338,106.0,14.454453471659725,0.00014454453471659726
1997,19,15,439793,101.0,22.96534960765633,0.00022965349607656328
1997,19,16,327035,98.0,29.966211567569218,0.0002996621156756922
1997,19,17,340088,120.0,35.28498506268966,0.0003528498506268966
1998,20,1,3941841,27.0,0.6849591345769654,6.849591345769655e-06
1998,20,2,4162768,8.0,0.19217981881286683,1.9217981881286683e-06
1998,20,3,3888498,9.0,0.2314518356445085,2.314518356445085e-06
1998,20,4,3377086,21.0,0.6218378803501007,6.218378803501006e-06
1998,20,5,2993536,40.0,1.336212425706589,1.3362124257065891e-05
1998,20,6,2835644,38.0,1.3400835930039172,1.3400835930039172e-05
1998,20,7,2786887,74.0,2.6552924463747543,2.6552924463747544e-05
1998,20,8,1966886,88.0,4.474077297820005,4.474077297820006e-05
1998,20,9,2292823,84.0,3.663605956499913,3.663605956499913e-05
1998,20,10,1493040,110.0,7.367518619728875,7.367518619728875e-05
1998,20,11,1478368,107.0,7.237710772960454,7.237710772960454e-05
1998,20,12,1153642,94.0,8.148108338635383,8.148108338635383e-05
1998,20,13,838071,117.0,13.96063102052213,0.00013960631020522128
1998,20,14,750746,115.0,15.318096932917392,0.00015318096932917391
1998,20,15,511693,112.0,21.888124324546162,0.00021888124324546162
1998,20,16,376431,120.0,31.87835220797437,0.0003187835220797437
1998,20,17,370322,127.0,34.29447885893898,0.0003429447885893898
1999,21,1,3907709,27.0,0.6909419304252185,6.909419304252185e-06
1999,21,2,4209074,5.0,0.11879097397669891,1.1879097397669891e-06
1999,21,3,3920042,10.0,0.2550993076094593,2.550993076094593e-06
1999,21,4,3737686,22.0,0.5885994703674947,5.885994703674947e-06
1999,21,5,3041056,40.0,1.3153325686866668,1.3153325686866667e-05
1999,21,6,2819227,66.0,2.3410672499944134,2.3410672499944134e-05
1999,21,7,2503689,67.0,2.676051218821507,2.676051218821507e-05
1999,21,8,2267012,71.0,3.1318757906883596,3.1318757906883595e-05
1999,21,9,1730580,119.0,6.876307365160813,6.876307365160813e-05
1999,21,10,1923201,87.0,4.523708130351429,4.5237081303514296e-05
1999,21,11,1395707,89.0,6.376696541609378,6.376696541609377e-05
1999,21,12,1197166,101.0,8.436591082606755,8.436591082606756e-05
1999,21,13,777696,125.0,16.07311854503559,0.00016073118545035592
1999,21,14,705320,127.0,18.006011455793114,0.00018006011455793116
1999,21,15,433414,127.0,29.302237583465235,0.00029302237583465234
1999,21,16,360101,108.0,29.991585694013626,0.00029991585694013625
1999,21,17,281264,158.0,56.174981512031394,0.000561749815120314
2000,22,1,3532817,28.0,0.7925686498904416,7.925686498904416e-06
2000,22,2,4246732,7.0,0.16483262894856562,1.6483262894856562e-06
2000,22,3,3960954,7.0,0.1767251020839929,1.7672510208399289e-06
2000,22,4,2716986,21.0,0.7729152818601199,7.7291528186012e-06
2000,22,5,3107585,37.0,1.190635171684765,1.1906351716847649e-05
2000,22,6,3086715,54.0,1.7494326492727705,1.7494326492727706e-05
2000,22,7,3053048,49.0,1.6049534760016875,1.6049534760016876e-05
2000,22,8,1566858,66.0,4.212251525026518,4.212251525026518e-05
